Product code,Station Number,Year,Jan,Day,Feb,Day,Mar,Day,Apr,Day,May,Day,Jun,Day,Jul,Day,Aug,Day,Sep,Day,Oct,Day,Nov,Day,Dec,Day,Annual
IDCJAC0005,002056,1986,,,,,39.9,27,39.0,06,37.4,05,34.0,08,35.0,18,37.5,30,39.5,27,41.6,27,42.0,18,43.5,25,
IDCJAC0005,002056,1987,42.5,01,37.6,09,38.0,26,39.4,12,38.5,03,34.0,19,33.5,31,36.1,29,38.4,29,43.5,25,42.4,11,41.0,09,43.5
IDCJAC0005,002056,1988,40.1,02,41.2,25,43.0,07,38.7,22,38.2,08,36.0,10,,,,,39.6,30,42.5,20,42.5,07,40.0,22,
IDCJAC0005,002056,1989,40.0,18,40.0,27,38.0,06,37.5,05,36.0,04,34.5,05,34.0,16,36.5,31,41.0,25,41.5,17,42.0,29,41.5,26,42.0
IDCJAC0005,002056,1990,39.5,04,41.5,20,41.0,18,40.0,11,38.0,20,34.5,13,35.5,16,37.0,14,37.5,28,42.5,31,44.5,21,42.0,23,44.5
IDCJAC0005,002056,1991,42.5,02,36.0,25,39.5,22,38.5,25,36.0,02,35.0,06,34.0,26,37.0,31,40.0,28,42.2,28,40.0,18,42.0,28,42.5
IDCJAC0005,002056,1992,43.0,16,40.5,18,40.3,02,39.5,02,37.4,05,35.0,18,34.5,30,36.5,28,40.0,29,40.3,18,43.7,25,43.3,27,43.7
IDCJAC0005,002056,1993,42.6,11,38.3,14,39.8,23,37.5,08,35.3,08,33.6,02,34.7,28,35.8,09,37.8,20,43.0,28,42.1,26,40.8,04,43.0
IDCJAC0005,002056,1994,40.8,23,41.2,05,37.5,27,37.0,01,35.4,07,33.1,09,33.0,11,33.5,28,39.0,27,40.4,18,45.1,08,39.3,28,45.1
IDCJAC0005,002056,1995,38.9,01,37.6,03,38.8,27,37.4,15,35.9,14,34.1,02,36.5,16,37.3,22,39.5,22,40.2,11,41.8,22,41.2,27,41.8
IDCJAC0005,002056,1996,42.9,07,40.7,21,38.5,26,37.8,01,35.3,11,35.3,29,36.0,19,37.7,29,38.4,17,40.9,25,42.6,30,41.4,03,42.9
IDCJAC0005,002056,1997,37.4,10,35.9,12,37.7,28,37.1,03,35.8,05,33.4,07,33.1,27,34.4,20,40.2,26,40.6,15,41.2,14,40.7,28,41.2
IDCJAC0005,002056,1998,41.0,03,40.3,27,40.1,19,39.3,01,37.6,02,36.4,06,35.6,07,38.1,25,39.8,30,41.9,12,39.9,22,39.9,07,41.9
IDCJAC0005,002056,1999,39.6,26,37.1,11,36.7,22,36.0,10,34.9,17,33.7,01,33.4,10,36.1,27,38.8,13,39.2,10,39.9,16,39.3,03,39.9
IDCJAC0005,002056,2000,38.0,31,39.1,01,36.8,31,36.9,04,33.7,25,31.9,21,33.8,25,37.1,31,38.5,06,39.7,01,41.8,25,38.6,28,41.8
IDCJAC0005,002056,2001,38.4,20,38.0,26,36.8,13,36.3,29,35.7,01,34.4,13,33.2,16,34.6,13,38.8,25,41.5,31,41.0,18,40.0,21,41.5
IDCJAC0005,002056,2002,39.0,28,37.5,13,38.8,22,38.5,07,36.5,08,34.6,15,33.8,28,34.6,31,38.7,26,43.9,23,41.2,12,43.9,08,43.9
IDCJAC0005,002056,2003,42.0,19,41.7,04,38.0,29,38.9,05,35.7,24,33.7,02,33.4,20,35.2,31,39.7,16,42.7,29,42.2,26,39.9,03,42.7
IDCJAC0005,002056,2004,39.6,16,36.4,29,37.0,12,36.4,08,35.4,05,34.2,08,33.8,31,35.3,02,39.3,30,41.8,11,43.5,17,45.3,14,45.3
IDCJAC0005,002056,2005,40.6,25,40.0,18,40.6,12,38.6,12,36.1,15,34.7,09,34.3,09,34.7,30,39.8,30,42.8,24,42.4,17,41.2,16,42.8
IDCJAC0005,002056,2006,39.5,10,38.6,14,37.0,03,36.7,13,32.5,22,31.1,30,34.1,31,35.3,28,38.8,30,39.1,21,42.5,10,42.5,02,42.5
IDCJAC0005,002056,2007,39.2,26,39.3,13,38.0,01,36.5,30,37.5,05,31.4,01,32.6,30,35.2,14,39.7,25,41.0,12,42.9,13,42.9,04,42.9
IDCJAC0005,002056,2008,40.3,21,38.2,02,36.9,15,36.4,13,35.4,02,33.5,11,34.5,31,36.6,31,39.9,30,41.8,31,42.9,22,39.9,06,42.9
IDCJAC0005,002056,2009,38.0,13,38.2,23,38.4,24,37.9,24,34.0,30,34.7,30,35.2,26,37.8,31,39.1,26,40.8,28,43.3,16,44.4,08,44.4
IDCJAC0005,002056,2010,38.6,01,41.5,21,37.4,29,39.4,06,35.9,03,33.0,26,35.6,28,38.4,20,40.1,29,40.1,04,42.4,22,40.6,06,42.4
IDCJAC0005,002056,2011,37.7,30,37.5,03,34.9,30,34.4,08,33.5,03,31.6,08,32.1,17,34.7,29,38.4,19,41.6,12,41.9,29,42.4,26,42.4
IDCJAC0005,002056,2012,42.2,13,40.6,10,36.5,31,37.1,05,35.1,02,34.0,14,34.3,13,38.0,26,41.1,24,42.8,30,42.1,22,43.2,06,43.2
IDCJAC0005,002056,2013,43.1,25,41.1,06,39.3,18,38.1,23,37.5,06,35.4,02,35.6,15,37.9,31,40.6,25,42.8,09,42.4,03,41.7,11,43.1
IDCJAC0005,002056,2014,41.0,09,37.5,20,39.3,19,39.3,01,36.2,01,34.1,20,33.9,31,34.9,01,39.1,28,43.2,30,43.0,21,44.2,15,44.2
IDCJAC0005,002056,2015,40.0,24,40.7,18,42.3,21,39.9,06,38.3,06,34.9,17,36.5,26,36.9,24,39.0,30,41.4,22,43.0,27,39.5,07,43.0
IDCJAC0005,002056,2016,40.3,06,41.4,15,40.3,02,39.1,05,38.3,01,37.4,07,36.2,24,36.5,29,40.7,28,43.3,31,43.8,30,43.8,08,43.8
IDCJAC0005,002056,2017,36.9,08,38.3,23,39.6,04,37.0,21,36.1,23,33.1,24,35.1,08,37.5,24,39.6,26,43.3,18,41.6,10,42.2,13,43.3
IDCJAC0005,002056,2018,40.5,01,38.2,12,39.3,22,40.1,02,36.9,04,34.9,13,35.2,25,35.7,29,39.7,15,43.3,28,42.7,02,44.6,20,44.6
IDCJAC0005,002056,2019,39.9,30,40.4,24,41.9,09,38.8,05,37.5,02,36.1,12,35.3,30,35.4,25,40.6,29,42.3,17,43.5,22,44.7,06,44.7
IDCJAC0005,002056,2020,41.3,28,40.9,23,39.8,30,40.4,04,35.9,10,35.2,14,33.9,03,38.5,21,40.1,20,40.8,21,43.3,12,40.0,16,43.3
IDCJAC0005,002056,2021,41.0,02,38.1,28,39.0,03,38.7,10,35.6,10,34.6,02,37.0,29,38.4,31,39.8,20,44.0,21,41.8,30,43.7,03,44.0
IDCJAC0005,002056,2022,42.7,11,38.9,13,40.7,05,39.5,11,37.0,15,36.0,07,34.4,25,37.3,30,41.3,21,43.7,23,42.1,08,42.6,09,43.7
IDCJAC0005,002056,2023,37.8,12,39.2,08,39.0,08,38.0,01,34.9,06,35.2,07,35.1,30,36.4,31,39.8,22,41.2,25,42.3,03,43.2,25,43.2
IDCJAC0005,002056,2024,39.6,03,40.7,02,39.0,18,36.0,17,35.2,17,35.2,30,34.7,01,40.2,26,,,,,,,,,
